open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp
513.6145307,515.2207605,456.9233892,497.9958136,2865780557,73495625283,147582817.5,-7.12E-05,2024-07-05 23:59:59.999000+00:00
497.96552,530.4472129,496.6573152,527.6743885,1604647597,77875643248,147582761.2,-3.82E-05,2024-07-06 23:59:59.999000+00:00
527.4404686,527.4404686,488.9649376,490.6131378,1660301909,72406012380,147582701.7,-4.03E-05,2024-07-07 23:59:59.999000+00:00
490.7128021,523.1556352,472.1613968,510.6142632,2305009896,75357795620,147582629.5,-4.89E-05,2024-07-08 23:59:59.999000+00:00
510.5447792,520.6462708,507.2747844,516.5680913,1586240513,76236447707,147582572.3,-3.87E-05,2024-07-09 23:59:59.999000+00:00
516.6347039,529.1921201,511.8351872,524.516529,1592646761,77409467371,147582512.8,-4.03E-05,2024-07-10 23:59:59.999000+00:00
524.5766925,540.0792399,521.0379529,525.1380825,1685684515,77501159721,147582440.3,-4.91E-05,2024-07-11 23:59:59.999000+00:00
525.117135,537.3161459,517.993263,533.7573041,1600204226,78773169815,147582373.5,-4.53E-05,2024-07-12 23:59:59.999000+00:00
533.7614398,539.1996303,527.7648108,532.348815,1436156860,78565269719,147582313.5,-4.06E-05,2024-07-13 23:59:59.999000+00:00
532.378527,547.3585949,532.1102452,544.8187102,1486806663,80405575846,147582258.7,-3.71E-05,2024-07-14 23:59:59.999000+00:00
544.9209002,586.543571,544.7007815,586.1410477,2019082961,86503979584,147582190.2,-4.64E-05,2024-07-15 23:59:59.999000+00:00
586.0094127,587.395527,556.6705267,576.5839601,2082707183,85093472629,147582101.7,-6.00E-05,2024-07-16 23:59:59.999000+00:00
576.5607131,584.009455,565.4176418,568.9127209,1739938322,83961300777,147582041.5,-4.08E-05,2024-07-17 23:59:59.999000+00:00
568.9682639,579.3433118,562.9327396,571.9515613,1636814280,84409740046,147581973.3,-4.62E-05,2024-07-18 23:59:59.999000+00:00
571.927129,598.0529157,565.973886,593.7021628,2052978808,87620751713,147583682.9,0.001158389,2024-07-19 23:59:59.999000+00:00
593.7093283,598.3012948,587.2839764,593.5722182,1585229672,87600527810,147581920.3,-0.001194271,2024-07-20 23:59:59.999000+00:00
593.5726364,603.6642284,583.5407466,601.851181,1815088659,88822252492,147581753.3,-0.000113199,2024-07-21 23:59:59.999000+00:00
601.851181,605.1911897,587.7720012,587.9178052,1985538902,85799539051,145937983.7,-1.113802728,2024-07-22 23:59:59.999000+00:00
587.9178052,593.1072796,578.2873085,582.0995306,1839296067,84951190949,145939287.8,0.000893652,2024-07-23 23:59:59.999000+00:00
582.1050008,588.8692235,570.9535869,574.5785089,1601708271,83852755334,145937855.4,-0.000981549,2024-07-24 23:59:59.999000+00:00
574.5785089,575.838795,554.7560108,570.7133559,1995371028,83288637938,145937776.1,-5.43E-05,2024-07-25 23:59:59.999000+00:00
570.7133559,582.7736279,570.4503801,581.0779228,1665724792,84795365637,145927701.4,-0.006903373,2024-07-26 23:59:59.999000+00:00
581.0779228,592.852524,574.8930976,581.588805,1760015335,84875697403,145937639.6,0.006810306,2024-07-27 23:59:59.999000+00:00
581.588805,584.6899275,575.0437575,584.0995915,1464043630,85212875780,145887579.8,-0.03430215,2024-07-28 23:59:59.999000+00:00
584.0995915,596.6490836,573.9860548,574.6425999,1825858615,83850420248,145917515.1,0.020519414,2024-07-29 23:59:59.999000+00:00
574.6425999,587.6650871,567.9902195,587.6650871,1811656040,85732964589,145887456.1,-0.020600002,2024-07-30 23:59:59.999000+00:00
587.6650871,592.5235563,575.2519543,576.3681941,1798590737,84113669313,145937388.9,0.034226965,2024-07-31 23:59:59.999000+00:00
576.3681941,577.2912981,553.7516563,575.1467047,2045220020,83935366045,145937315.4,-5.04E-05,2024-08-01 23:59:59.999000+00:00
575.1467047,577.0011417,540.118645,542.9151898,2062337930,79231550681,145937251.7,-4.37E-05,2024-08-02 23:59:59.999000+00:00
542.9151898,544.6666849,522.195751,529.4813258,1826715291,77271013567,145937183.8,-4.65E-05,2024-08-03 23:59:59.999000+00:00
529.4813258,531.615804,488.248819,497.0390938,1980159444,72536450574,145937113.4,-4.83E-05,2024-08-04 23:59:59.999000+00:00
497.0390938,499.3894243,407.5245821,464.6269093,4703145244,67806230416,145936942.2,-0.000117267,2024-08-05 23:59:59.999000+00:00
464.6269093,492.8954964,464.2871452,484.3238278,2087680023,70680699138,145936861,-5.57E-05,2024-08-06 23:59:59.999000+00:00
484.3238278,497.6240979,468.997672,474.2247629,1883200228,69206840518,145936791.9,-4.74E-05,2024-08-07 23:59:59.999000+00:00
474.1997218,521.0404787,469.1906879,517.3375448,1790085695,75498545442,145936722,-4.79E-05,2024-08-08 23:59:59.999000+00:00
517.3375448,517.7231733,500.1761223,509.1827073,1565495419,74308422019,145936656.8,-4.46E-05,2024-08-09 23:59:59.999000+00:00
509.1827073,524.9590436,507.8503011,523.3176137,1394699693,76371219540,145936650.2,-4.54E-06,2024-08-10 23:59:59.999000+00:00
523.3177873,535.5400128,503.233849,503.8045256,1563057068,73523440056,145936442.3,-0.0001425,2024-08-11 23:59:59.999000+00:00
503.8041639,523.544636,500.2337108,518.5361454,1786263873,75673339231,145936478.9,2.51E-05,2024-08-12 23:59:59.999000+00:00
518.5361454,525.6864933,514.5475379,524.1285298,1757981177,76489435198,145936408.4,-4.83E-05,2024-08-13 23:59:59.999000+00:00
524.1285298,531.505178,516.5063697,524.015303,1604400640,76472879644,145936348.1,-4.14E-05,2024-08-14 23:59:59.999000+00:00
524.015303,533.6436617,511.6082329,519.8703719,1645936961,75867943548,145936271.1,-5.27E-05,2024-08-15 23:59:59.999000+00:00
519.8703719,524.37403,511.0402838,519.9686345,1538941515,75882247292,145936201.3,-4.79E-05,2024-08-16 23:59:59.999000+00:00
519.9686345,547.1613851,518.940648,542.2342834,1554176167,79131582566,145936147.9,-3.66E-05,2024-08-17 23:59:59.999000+00:00
542.2342834,542.3954434,531.236709,531.6085507,1458218557,77580877632,145936098.1,-3.41E-05,2024-08-18 23:59:59.999000+00:00
531.6085507,560.6581663,529.6116292,559.8188395,1721716619,81697741672,145936034.9,-4.34E-05,2024-08-19 23:59:59.999000+00:00
559.8188395,574.5568934,559.1103666,569.2669625,2062353969,83076513823,145935948,-5.95E-05,2024-08-20 23:59:59.999000+00:00
569.2669625,575.0878255,547.6110891,570.0197268,1887431524,83186278769,145935789.3,-0.000108703,2024-08-21 23:59:59.999000+00:00
570.0197268,589.4165743,561.2243321,583.0518549,1998394415,85088014535,145935586.7,-0.000138838,2024-08-22 23:59:59.999000+00:00
583.0518549,597.5437328,575.7690431,591.8060498,2037288685,86365611699,145935668.8,5.63E-05,2024-08-23 23:59:59.999000+00:00
591.8067348,592.773275,575.8373805,580.7621773,1954023736,84753779728,145935432.9,-0.000161705,2024-08-24 23:59:59.999000+00:00
580.7621773,583.936368,569.9007107,574.2499651,1681089758,83803381528,145935370.7,-4.26E-05,2024-08-25 23:59:59.999000+00:00
574.2499651,575.9811975,547.227745,548.8280311,1818728257,80093378278,145935290.7,-5.48E-05,2024-08-26 23:59:59.999000+00:00
548.8280311,558.2140781,523.4385182,533.9758764,1853530701,77925886837,145935219.7,-4.87E-05,2024-08-27 23:59:59.999000+00:00
533.9758764,546.1093532,523.774395,536.8161394,1861040561,78340344977,145935152.1,-4.63E-05,2024-08-28 23:59:59.999000+00:00
536.8161394,545.4614623,532.3034155,536.6256775,1577402536,78312516130,145935089.2,-4.31E-05,2024-08-29 23:59:59.999000+00:00
536.6256775,542.814677,523.0588081,535.3157718,1598876190,78121319105,145935022.3,-4.59E-05,2024-08-30 23:59:59.999000+00:00
535.3157718,541.1749745,531.6283665,532.8969821,1284869085,77768305211,145934970.2,-3.57E-05,2024-08-31 23:59:59.999000+00:00
532.8969821,532.9790719,508.7206107,512.5952013,1498350087,74805529171,145934899.5,-4.85E-05,2024-09-01 23:59:59.999000+00:00
512.5952013,529.0226539,502.1722573,526.4387283,1653356892,76825747806,145934832.8,-4.57E-05,2024-09-02 23:59:59.999000+00:00
526.4387283,537.9566677,518.6689457,518.6689457,1559458476,75687307517,145926044.2,-0.006022264,2024-09-03 23:59:59.999000+00:00
518.6379158,523.4694189,496.43851,507.820489,1898187560,74108635635,145934709.7,0.005938244,2024-09-04 23:59:59.999000+00:00
507.820489,512.6258073,497.3491863,502.0693752,1468645986,73269314773,145934642.5,-4.60E-05,2024-09-05 23:59:59.999000+00:00
502.0693752,508.8201376,473.1689035,486.9027479,1860035342,71055946030,145934575.9,-4.56E-05,2024-09-06 23:59:59.999000+00:00
486.9027479,499.1057742,483.2615956,493.2261236,1358748616,71978716014,145934516.8,-4.05E-05,2024-09-07 23:59:59.999000+00:00
493.2261236,506.4251016,491.0293414,503.0001618,1378399660,73405057387,145934460.8,-3.84E-05,2024-09-08 23:59:59.999000+00:00
503.0001618,524.6112805,501.9822185,518.5453659,1602303180,75673608212,145934402.6,-3.98E-05,2024-09-09 23:59:59.999000+00:00
518.5453659,523.9138017,514.0165438,517.4837999,1461007853,75518650030,145934326.9,-5.19E-05,2024-09-10 23:59:59.999000+00:00
517.4837999,534.5135372,507.2425153,530.19402,1629703281,77373472174,145934260.4,-4.56E-05,2024-09-11 23:59:59.999000+00:00
530.19402,547.7917387,530.1493402,544.3037739,1725751181,79432529306,145934188.1,-4.96E-05,2024-09-12 23:59:59.999000+00:00
544.3037739,559.5098919,539.0566044,557.0180792,1745545933,81287946437,145934125.8,-4.27E-05,2024-09-13 23:59:59.999000+00:00
557.0180792,559.3895387,548.8692139,553.5650771,1412065214,80784004948,145934070.4,-3.79E-05,2024-09-14 23:59:59.999000+00:00
553.5650771,561.577084,552.3636978,553.9722707,1565883242,80843399507,145934018.3,-3.57E-05,2024-09-15 23:59:59.999000+00:00
553.9722707,554.7008971,527.4401238,533.8091056,1805132571,77900807196,145933829.9,-0.000129146,2024-09-16 23:59:59.999000+00:00
533.8086933,552.5006042,529.4241632,546.0135293,1617928146,79681876689,145933887,3.92E-05,2024-09-17 23:59:59.999000+00:00
546.0135293,559.0445656,537.508432,559.0445656,1657679444,81583511348,145933824.2,-4.30E-05,2024-09-18 23:59:59.999000+00:00
559.0445656,571.7189728,553.5143166,566.2235332,1859308230,82631119906,145933743.6,-5.52E-05,2024-09-19 23:59:59.999000+00:00
566.2235332,576.9052674,559.6436341,568.5850926,1821452417,82974430683,145931421.3,-0.001591341,2024-09-20 23:59:59.999000+00:00
568.5764118,590.025282,566.8111335,589.0379937,1694887390,85960423308,145933580.2,0.001479421,2024-09-21 23:59:59.999000+00:00
589.0379937,593.9545461,577.4526597,588.0869406,1680179600,85821599230,145933523.3,-3.90E-05,2024-09-22 23:59:59.999000+00:00
588.0869406,615.7206232,585.5076519,604.3660272,2189508231,88197223018,145933456,-4.61E-05,2024-09-23 23:59:59.999000+00:00
604.3660272,612.6076265,600.267617,606.5230683,1904808937,88511967216,145933389.6,-4.55E-05,2024-09-24 23:59:59.999000+00:00
606.5230683,607.7629324,584.858847,587.3525311,1744393946,85714136164,145933032.8,-0.000244508,2024-09-25 23:59:59.999000+00:00
587.3513611,608.854169,581.2283057,596.7769386,2081857126,87089595799,145933246,0.000146133,2024-09-26 23:59:59.999000+00:00
596.7769386,614.4735077,596.5010054,607.8669918,2144197609,88707870823,145933028.1,-0.000149297,2024-09-27 23:59:59.999000+00:00
607.8669918,617.3323915,595.2077554,601.5671736,1858159482,87788468182,145932943.2,-5.82E-05,2024-09-28 23:59:59.999000+00:00
601.5671736,602.6603758,593.0492423,596.4111767,1649655134,87035998848,145932876.9,-4.54E-05,2024-09-29 23:59:59.999000+00:00
596.4111767,596.4414399,564.6532944,567.2600917,1978021598,82781855679,145932803.8,-5.01E-05,2024-09-30 23:59:59.999000+00:00
567.2600917,582.4347709,538.4796254,547.9971423,2124076272,79970711679,145932716.6,-5.98E-05,2024-10-01 23:59:59.999000+00:00
547.9971423,557.9986644,536.1533042,542.7123155,1821113448,79199443610,145932644.9,-4.92E-05,2024-10-02 23:59:59.999000+00:00
542.7123155,550.5075859,535.3806149,544.4249761,1611934612,79449341513,145932580.2,-4.43E-05,2024-10-03 23:59:59.999000+00:00
544.4249761,557.4121837,542.2801357,555.3841899,1518084330,81048613880,145932519.1,-4.19E-05,2024-10-04 23:59:59.999000+00:00
555.3841899,564.8151192,552.3409564,563.2091784,1426434745,82190522875,145932499,-1.37E-05,2024-10-05 23:59:59.999000+00:00
563.2091784,571.4304244,561.5877607,570.5427085,1416593714,83260723249,145932499,-1.59E-10,2024-10-06 23:59:59.999000+00:00
570.5427085,580.9834728,564.1204163,564.149724,1703177011,82327682513,145932327.9,-0.000117253,2024-10-07 23:59:59.999000+00:00
564.149724,585.9742541,560.292867,580.4038862,2143563900,84699650802,145932260,-4.66E-05,2024-10-08 23:59:59.999000+00:00
580.4038862,585.0736405,567.1438233,570.2771703,1913652029,83221749248,145932107.4,-0.00010456,2024-10-09 23:59:59.999000+00:00
570.2768515,572.060712,551.7832129,562.7257814,1559089785,82119769596,145932125.9,1.27E-05,2024-10-10 23:59:59.999000+00:00
562.7257814,577.1348016,560.0671757,572.8572096,1622508791,83598235811,145932065.5,-4.14E-05,2024-10-11 23:59:59.999000+00:00
572.8572096,578.7108079,572.8572096,576.4497413,1482994534,84122465986,145932004.1,-4.21E-05,2024-10-12 23:59:59.999000+00:00
576.4497413,578.063999,565.1305153,571.8217197,1472484694,83447056984,145931947.2,-3.90E-05,2024-10-13 23:59:59.999000+00:00
571.8217197,591.4108,569.9707713,588.9004265,1825783992,85939345164,145931877.9,-4.74E-05,2024-10-14 23:59:59.999000+00:00
588.9004265,598.8892534,578.4895471,594.1892356,2040945899,86711109046,145931807.3,-4.84E-05,2024-10-15 23:59:59.999000+00:00
594.1892356,605.104201,589.9337511,600.8178245,1918592073,87678385949,145931732.3,-5.14E-05,2024-10-16 23:59:59.999000+00:00
600.8178245,605.8289878,585.7150444,592.0395897,1739191571,86397327504,145931672.5,-4.10E-05,2024-10-17 23:59:59.999000+00:00
592.0395897,602.1707227,591.6998112,599.3649664,1638190792,87466292490,145931606.6,-4.51E-05,2024-10-18 23:59:59.999000+00:00
599.3649664,600.9993498,595.7270301,597.9749413,1432675869,87263415715,145931559.5,-3.23E-05,2024-10-19 23:59:59.999000+00:00
597.9749413,606.3153743,593.7392952,605.5178287,1608355248,88197685465,145656628.6,-0.188397162,2024-10-20 23:59:59.999000+00:00
605.5178287,610.9203243,591.696499,598.8175537,1917193200,87386307830,145931439.9,0.188670646,2024-10-21 23:59:59.999000+00:00
598.8175537,599.5232264,587.2016946,593.360629,1739710555,86589936469,145931381.8,-3.98E-05,2024-10-22 23:59:59.999000+00:00
593.360629,593.8107711,573.0883032,582.4734045,1719055847,85001113289,145931320.9,-4.17E-05,2024-10-23 23:59:59.999000+00:00
584.6485383,597.5253259,583.0283677,594.1547588,1595144217,86705752710,145931260.2,-4.16E-05,2024-10-24 23:59:59.999000+00:00
594.1547588,596.9539965,567.0569027,574.2536098,1712373877,83801517941,145931199.2,-4.18E-05,2024-10-25 23:59:59.999000+00:00
574.2536098,586.1701995,571.325033,582.8061032,1433826425,85049558597,145931139.2,-4.11E-05,2024-10-26 23:59:59.999000+00:00
582.8061032,590.1192524,581.2571576,588.7158452,1402058513,85911947501,145931094.3,-3.08E-05,2024-10-27 23:59:59.999000+00:00
588.7158452,603.7217516,585.1208008,600.5960593,1671332663,87645607362,145931039.7,-3.74E-05,2024-10-28 23:59:59.999000+00:00
