open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp,Halving
57071.09805,63913.13181,56738.4242,62504.78925,83239156760,1.23E+12,19640350,0.004552061,2024-02-28 23:59:59.999000+00:00,
62499.18177,63585.64343,60498.73045,61198.3829,65496611844,1.20E+12,19641187,0.004261635,2024-02-29 23:59:59.999000+00:00,
61168.06243,63155.10235,60802.52636,62440.63254,40186368423,1.23E+12,19642150,0.004902962,2024-03-01 23:59:59.999000+00:00,
62431.65248,62458.69852,61657.28871,62029.84606,23888473685,1.22E+12,19642950,0.004072874,2024-03-02 23:59:59.999000+00:00,
62031.57852,63230.20956,61435.02342,63167.37036,26253811450,1.24E+12,19643950,0.005090885,2024-03-03 23:59:59.999000+00:00,
63137.00468,68537.02933,62386.51835,68330.41561,70670471105,1.34E+12,19644731,0.003975779,2024-03-04 23:59:59.999000+00:00,
68341.05778,69170.62821,59323.90894,63801.19756,1.03E+11,1.25E+12,19638037.96,-0.034070427,2024-03-05 23:59:59.999000+00:00,
63776.05143,67637.92986,62848.67152,66106.80279,68750229073,1.30E+12,19644501.47,0.032913221,2024-03-06 23:59:59.999000+00:00,
66099.74165,68029.91869,65655.5342,66925.4832,46989543159,1.32E+12,19651439.08,0.035315801,2024-03-07 23:59:59.999000+00:00,
66938.09348,70083.05162,66230.45214,68300.09569,59202881172,1.34E+12,19648477.51,-0.015070512,2024-03-08 23:59:59.999000+00:00,
68299.25973,68673.05803,68053.12522,68498.8813,21609650379,1.35E+12,19650169.31,0.008610333,2024-03-09 23:59:59.999000+00:00,
68500.25585,70005.1999,68239.98039,69019.78636,35683977532,1.36E+12,19650662,0.002507321,2024-03-10 23:59:59.999000+00:00,
69020.54977,72850.71358,67194.88615,72123.90355,65716656765,1.42E+12,19652024.89,0.006935603,2024-03-11 23:59:59.999000+00:00,
72125.12163,72825.65737,68728.85433,71481.29159,62554434520,1.40E+12,19652838.95,0.004142366,2024-03-12 23:59:59.999000+00:00,
71482.11707,73637.47479,71334.09238,73083.50133,48212536929,1.44E+12,19652476.91,-0.001842162,2024-03-13 23:59:59.999000+00:00,
73079.37338,73750.07385,68563.02277,71396.58989,59594605698,1.40E+12,19652100.42,-0.00191578,2024-03-14 23:59:59.999000+00:00,
71387.8732,72357.13088,65630.69408,69403.77183,78320453976,1.36E+12,19652085.26,-7.71E-05,2024-03-15 23:59:59.999000+00:00,
69392.4875,70046.27393,64801.39555,65315.11747,46842198371,1.28E+12,19656556.38,0.022751405,2024-03-16 23:59:59.999000+00:00,
65316.34488,68845.71624,64545.3181,68390.6228,44716864318,1.34E+12,19651498.27,-0.025732455,2024-03-17 23:59:59.999000+00:00,
68371.30726,68897.13441,66594.23035,67548.59157,49261579492,1.33E+12,19660144.17,0.043996137,2024-03-18 23:59:59.999000+00:00,
67556.13116,68106.92741,61536.18025,61912.77315,74215844794,1.22E+12,19664425.15,0.021774948,2024-03-19 23:59:59.999000+00:00,
61930.1549,68115.25887,60807.78596,67913.67303,66792634382,1.34E+12,19659251.22,-0.026311111,2024-03-20 23:59:59.999000+00:00,
67911.58387,68199.99044,64580.91674,65491.38993,44480350565,1.29E+12,19660211.26,0.004883405,2024-03-21 23:59:59.999000+00:00,
65489.92846,66623.7493,62355.36971,63778.76256,41401116964,1.25E+12,19668892.13,0.044154466,2024-03-22 23:59:59.999000+00:00,
63802.72196,65976.40154,63038.49308,64062.20233,24738964812,1.26E+12,19665086.17,-0.019350124,2024-03-23 23:59:59.999000+00:00,
64070.75213,67622.76089,63825.85334,67234.17235,27206630673,1.32E+12,19663490.13,-0.008116115,2024-03-24 23:59:59.999000+00:00,
67234.09758,71162.59344,66414.83223,69958.81358,42700139523,1.38E+12,19656566.78,-0.035209148,2024-03-25 23:59:59.999000+00:00,
69931.32635,71535.7408,69335.61291,69987.8389,36010437368,1.38E+12,19666321.11,0.049623746,2024-03-26 23:59:59.999000+00:00,
69991.89651,71727.68376,68381.92585,69455.34098,40827113309,1.37E+12,19665303.35,-0.005175136,2024-03-27 23:59:59.999000+00:00,
69452.77111,71546.0196,68895.50523,70744.95206,34374900617,1.39E+12,19666931.76,0.008280618,2024-03-28 23:59:59.999000+00:00,
70744.79652,70913.09572,69076.65419,69892.82907,25230851763,1.37E+12,19668060.12,0.005737376,2024-03-29 23:59:59.999000+00:00,
69893.44429,70355.49479,69601.06506,69645.30579,17130241883,1.37E+12,19669554.48,0.007597879,2024-03-30 23:59:59.999000+00:00,
69647.77903,71377.7795,69624.86868,71333.64793,20050941373,1.40E+12,19669655,0.000511031,2024-03-31 23:59:59.999000+00:00,
71333.48472,71342.09145,68110.69602,69702.14611,34873527352,1.37E+12,19671437.26,0.009060974,2024-04-01 23:59:59.999000+00:00,
69705.02432,69708.38126,64586.5943,65446.97423,50705240709,1.29E+12,19671484.09,0.000238048,2024-04-02 23:59:59.999000+00:00,
65446.67176,66914.32256,64559.89995,65980.80865,34488018367,1.30E+12,19670937.84,-0.002776841,2024-04-03 23:59:59.999000+00:00,
65975.69667,69291.25481,65113.79653,68508.84184,34439527442,1.35E+12,19675303,0.022190916,2024-04-04 23:59:59.999000+00:00,
68515.75426,68725.75836,66011.47949,67837.64253,33748230056,1.33E+12,19675118.06,-0.000939954,2024-04-05 23:59:59.999000+00:00,
67840.57358,69629.60205,67491.71524,68896.10998,19967785809,1.36E+12,19675522.91,0.002057638,2024-04-06 23:59:59.999000+00:00,
68897.11113,70284.42626,68851.63009,69362.55128,21204930369,1.36E+12,19676262.77,0.003760348,2024-04-07 23:59:59.999000+00:00,
69362.554,72715.35961,69064.2449,71631.35695,37261432669,1.41E+12,19677551.73,0.006550818,2024-04-08 23:59:59.999000+00:00,
71632.50266,71742.50632,68212.9193,69139.01583,36426900409,1.36E+12,19678529.6,0.004969486,2024-04-09 23:59:59.999000+00:00,
69140.24064,71093.43316,67503.56561,70587.87944,38318601774,1.39E+12,19675750.47,-0.01412266,2024-04-10 23:59:59.999000+00:00,
70575.73216,71256.23813,69571.81497,70060.60706,30153382941,1.38E+12,19680192.01,0.02257365,2024-04-11 23:59:59.999000+00:00,
70061.3796,71222.74298,65254.83434,67195.86418,44129299406,1.32E+12,19678574.94,-0.00821673,2024-04-12 23:59:59.999000+00:00,
67188.37643,67931.42936,60919.10616,63821.47388,52869738185,1.26E+12,19686388.19,0.039704355,2024-04-13 23:59:59.999000+00:00,
63836.23184,65824.42708,62205.85172,65738.72389,49084320047,1.29E+12,19682800,-0.018226752,2024-04-14 23:59:59.999000+00:00,
65739.64454,66878.6469,62332.07152,63426.21002,43595917654,1.25E+12,19681555.07,-0.006324941,2024-04-15 23:59:59.999000+00:00,
63419.29849,64355.66926,61716.40233,63811.86394,42847528078,1.26E+12,19690857.45,0.047264411,2024-04-16 23:59:59.999000+00:00,
