open,high,low,close,volume,marketCap,CirculatingSupply,SupplyGrowthRate,timestamp
0.99456799,1.070440054,0.93661499,1.013360024,1907690,75434113.56,74439598.73,0.034172142,2015-11-03 23:59:59.999000+00:00
1.010650039,1.038720012,0.725664973,0.899049997,3060340,66947929.52,74465190.75,0.034379572,2015-11-04 23:59:59.999000+00:00
0.900699019,0.991258979,0.860382021,0.895636976,1179840,66716645.44,74490722.5,0.034286826,2015-11-05 23:59:59.999000+00:00
0.904771984,0.989848018,0.852928996,0.926032007,913666,69004594.54,74516424.94,0.034504214,2015-11-06 23:59:59.999000+00:00
0.923731983,0.943786979,0.863538981,0.927973986,890187,69172170.72,74541066.63,0.033068804,2015-11-07 23:59:59.999000+00:00
0.915660977,1.032680035,0.915660977,1.027469993,1021460,76614487.79,74566156.01,0.033658464,2015-11-08 23:59:59.999000+00:00
1.03252995,1.10642004,0.945263028,0.999278009,2045290,74537425.6,74591279.83,0.033693337,2015-11-09 23:59:59.999000+00:00
1.001260042,1.053040028,0.920967996,0.934347987,854581,69717801.37,74616526.54,0.033846728,2015-11-10 23:59:59.999000+00:00
0.941295981,0.945277989,0.729775012,0.79182899,1278580,59103443.27,74641676.44,0.03370554,2015-11-11 23:59:59.999000+00:00
0.796455026,0.913918972,0.763509989,0.895711005,806156,66880152.21,74667110.08,0.03407431,2015-11-12 23:59:59.999000+00:00
0.907721996,0.917308986,0.846023023,0.904096007,543671,67529353.67,74692679.92,0.034245122,2015-11-13 23:59:59.999000+00:00
0.905469,0.906113029,0.876908004,0.888812006,372514,66410517.66,74718295,0.034293954,2015-11-14 23:59:59.999000+00:00
0.891216993,0.921516001,0.874957025,0.906368017,411848,67745801.37,74744254.1,0.034742634,2015-11-15 23:59:59.999000+00:00
0.906166017,0.94473201,0.891970992,0.928961992,620945,69458010.79,74769486.14,0.03375784,2015-11-16 23:59:59.999000+00:00
0.924947977,1.032950044,0.905794025,1.007979989,1145440,75392161.96,74795296.32,0.034519661,2015-11-17 23:59:59.999000+00:00
0.993214011,1.011569977,0.940515995,0.993318975,681104,74320768.77,74820647.39,0.033893933,2015-11-18 23:59:59.999000+00:00
0.988713026,1.007969976,0.937497973,0.955532014,443528,71517342.45,74845574.4,0.033315696,2015-11-19 23:59:59.999000+00:00
0.955735028,0.955735028,0.898576021,0.924920023,614335,69247997.8,74869173.63,0.031530561,2015-11-20 23:59:59.999000+00:00
0.928758025,0.978743017,0.920939982,0.976140022,455976,73107356.65,74894333.81,0.033605516,2015-11-21 23:59:59.999000+00:00
0.979764998,0.984131992,0.958981991,0.968017995,372173,72523507.32,74919585.89,0.033716948,2015-11-22 23:59:59.999000+00:00
0.967492998,0.969057024,0.933870018,0.946968973,441875,70970606.38,74945017.63,0.033945387,2015-11-23 23:59:59.999000+00:00
0.946442008,0.948055029,0.895931006,0.900191009,524195,67487355.73,74970039.75,0.033387302,2015-11-24 23:59:59.999000+00:00
0.893827021,0.899492979,0.851105988,0.863537014,622991,64760707.32,74994709.28,0.032905852,2015-11-25 23:59:59.999000+00:00
0.863273025,0.903643012,0.804359973,0.88418299,947473,66330891.85,75019416.34,0.03294507,2015-11-26 23:59:59.999000+00:00
0.882099986,0.900050998,0.860695005,0.867950976,403813,65135634.93,75045292.57,0.034492706,2015-11-27 23:59:59.999000+00:00
0.868102014,0.929292977,0.862121999,0.915702999,462464,68742122.27,75070325.58,0.033357203,2015-11-28 23:59:59.999000+00:00
0.91414398,0.91415298,0.860532999,0.878614008,448358,65980041.54,75095594.81,0.033660744,2015-11-29 23:59:59.999000+00:00
